土地區段位置或建物區門牌,lng,lat
臺北市內湖區康寧路三段75巷211~240號,121.614003,25.077126
臺北市大安區泰順街33巷1~30號,121.531653,25.0260299
臺北市大安區仁愛路三段143巷1~30號,121.5331059,25.0384906
臺北市松山區八德路二段331~360號,121.5432525,25.0475222
臺北市松山區八德路四段601~630號,121.5742437,25.0500427
臺北市松山區南京東路五段291巷29弄1~30號,121.5573674,25.0518185
臺北市中山區北安路588巷31~60號,121.5500151,25.0810702
臺北市信義區松勇路31~60號,121.5700912,25.0368853
臺北市松山區南京東路五段250巷18弄31~60號,121.568084,25.050552
臺北市信義區吳興街600巷76弄61~90號,121.5704009,25.0177936
臺北市北投區大興街91~120號,121.5022934,25.1308613
臺北市中山區長安東路一段30巷3弄1~30號,121.522081,25.049818
臺北市大同區萬全街1~30號,121.5203491,25.058718
臺北市大同區萬全街1~30號,121.5203491,25.058718
臺北市大同區萬全街1~30號,121.5203491,25.058718
臺北市內湖區陽光街68巷61~90號,121.585999,25.0766566
臺北市內湖區民權東路六段90巷25弄31~60號,121.5871516,25.0671133
臺北市文山區木新路三段232巷7弄1~30號,121.5652421,24.9826247
臺北市文山區興隆路二段61巷1~30號,121.5455398,24.9990517
臺北市萬華區萬大路481~510號,121.4981059,25.0203058
臺北市大安區延吉街137巷1~30號,121.5546471,25.0420931
臺北市大安區敦化南路二段55巷1~30號,121.5492181,25.0330358
臺北市大安區忠孝東路四段211~240號,121.5520887,25.0416923
臺北市內湖區民權東路六段280巷155弄211~240號,121.6097857,25.0684851
臺北市內湖區陽光街285巷1~30號,121.5802473,25.0740502
臺北市內湖區康樂街186巷1弄1~30號,121.6204465,25.0762526
臺北市中山區松江路133巷31~60號,121.5331738,25.0474392
臺北市內湖區成功路四段331~360號,121.5992373,25.0844694
臺北市內湖區文湖街21巷61~90號,121.5628887,25.0868247
臺北市中山區中山北路三段31~60號,121.522573,25.0657089
臺北市內湖區內湖路二段361~390號,121.5922441,25.0837795
臺北市萬華區環河南路三段271~300號,121.493383,25.0192389
臺北市萬華區寶興街151~180號,121.49508,25.024373
臺北市萬華區中華路二段416巷1~30號,121.503617,25.026718
臺北市大同區承德路二段175巷1~30號,121.5188396,25.0534738
